English,French,Italian,Spanish
identify,identifier,identificare,identificar
democrat,démocrate,democratico,demócrata
behavior,comportement,comportamento,conducta
day,journée,giorno,día
student,élève,alunno,estudiante
serve,servir,servire,atender
administration,administration,amministrazione,administración
arm,bras,braccio,brazo
death,décès,morte,muerte
officer,officier,ufficiale,oficial
fire,feu,fuoco,fuego
choose,choisir,scegliere,escoger
difference,différence,differenza,diferencia
make,fabriquer,fare,fabricar
movement,mouvement,movimento,movimiento
discussion,discussion,discussione,discusión
vote,voter,votazione,votar
staff,personnel,personale,personal
member,membre,membro,miembro
try,essayer,tentativo,tratar
respond,répondre,rispondere,responder
figure,chiffre,figura,figura
sister,sœur,sorella,hermana
work,travail,opera,trabajo
fine,amende,bene,multa
artist,artiste,artista,artista
buy,acheter,acquistare,comprar
daughter,fille,figlia,hija
government,gouvernement,governo,gobierno
law,loi,legge,ley
size,taille,dimensione,talla
second,seconde,secondo,segundo
body,corps,corpo,cuerpo
pick,prendre,scegliere,elegir
hurt,blesser,dolore,herir
church,église,chiesa,iglesia
factor,facteur,fattore,factor
deal,accord,affare,acuerdo
feel,ressentir,tatto,sentir
authority,autorité,autorità,autoridad
song,chanson,canzone,canción
eight,huit,otto,ocho
mind,écouter,mente,mente
support,support,sostegno,apoyo
too,trop,pure,también
single,célibataire,separare,único
seek,chercher,cercare,buscar
keep,donjon,mantenere,mantenerse
short,court,breve,corto
black,noir,nero,negro
result,résultat,risultato,resultado
nice,agréable,bello,bonito
pull,tirer,tiro,jalar
dead,morte,morto,muerto
show,afficher,mostrare,show
dollar,dollar,dollaro,dólar
goal,objectif,obbiettivo,meta
subject,matière,materia,sujeto
any,quelconque,qualunque,ningún
month,mois,mese,mes
strong,fort,forte,fuerte
south,sud,sud,sur
eye,œil,occhio,ojo
floor,étage,pavimento,piso
army,armée,esercito,ejército
reach,atteindre,portata,alcanzar
enough,assez,abbastanza,suficiente
effort,effort,sforzo,esfuerzo
ball,balle,sfera,bola
federal,fédéral,federale,federal
hear,écouter,ascoltare,escuchar
fill,remplir,riempire,llenar
very,très,molto,muy
next,suivant,prossimo,siguiente
brother,frère,fratello,hermano
upon,sur,su,al
past,passé,passato,pasado
performance,performance,prestazione,rendimiento
easy,facile,facile,fácil
matter,matière,questione,importar
minute,minute,minuto,minuto
truth,vérité,verità,verdad
high,haut,alto,alto
brain,cerveau,cervello,cerebro
friend,ami,amico,amigo
decide,décider,decidere,decidir
release,libération,pubblicazione,liberar
general,général,generale,general
project,projet,progetto,proyecto
plan,planifier,piano,plan
county,comté,contea,condado
challenge,défi,sfida,desafío
suggest,suggérer,suggerire,sugerir
society,société,società,sociedad
lot,parcelle,quantità,lote
send,envoyer,inviare,enviar
medical,médical,medico,médico
small,petit,piccolo,pequeña
nothing,rien,niente,nada
woman,femme,donna,mujer
all,tout,tutto,todo
child,enfant,bambino,niño
little,petit,poco,pequeño
network,réseau,rete,red
soon,bientôt,presto,pronto
west,ouest,ovest,oeste
shit,merde,merda,mierda
better,mieux,meglio,mejor
mention,mention,citare,mencionar
dream,rêver,sogno,sueño
interesting,intéressant,interessante,interesante
sound,sonner,suono,sonar
door,porte,porta,puerta
half,demi,metà,mitad
role,rôle,ruolo,papel
argument,argument,discussione,argumento
simple,facile,semplice,simple
university,université,università,universidad
market,marché,mercato,mercado
union,syndicat,unione,unión
home,domicile,casa,casa
form,former,modulo,formulario
laugh,rire,ridere,reír
ten,dix,dieci,diez
picture,image,foto,imagen
ground,terre,terra,tierra
sex,sexe,sesso,sexo
american,américain,americano,americano
economy,économie,economia,economía
art,art,arte,arte
response,réponse,risposta,respuesta
shot,coup,sparo,disparo
clear,dégager,chiaro,claro
poor,pauvre,povero,pobre
legal,légal,legale,legal
patient,patient,paziente,paciente
line,ligne,linea,línea
knowledge,connaissance,conoscenza,conocimiento
energy,énergie,energia,energía
recognize,reconnaître,riconoscere,reconocer
resource,ressource,risorsa,recurso
force,obliger,forza,fuerza
great,super,grande,estupendo
indicate,indiquer,indicare,indicar
love,aimer,amore,amor
employee,employé,dipendente,empleado
allow,autoriser,permettere,permitir
notice,remarquer,avviso,aviso
value,valeur,valore,valor
situation,situation,situazione,situación
claim,réclamer,reclamo,afirmar
car,auto,macchina,carro
number,numéro,numero,número
long,long,lungo,largo
lie,mensonge,menzogna,mentir
order,ordre,ordine,pedido
learn,apprendre,imparare,aprender
son,fils,figlio,hijo
risk,risque,rischio,riesgo
space,espace,spazio,espacio
completely,complètement,completamente,completamente
then,ensuite,poi,entonces
avoid,éviter,evitare,evitar
two,deux,due,dos
benefit,avantage,beneficio,beneficio
environment,environnement,ambiente,ambiente
group,grouper,gruppo,grupo
list,liste,elenco,lista
big,grand,grande,grande
system,système,sistema,sistema
memory,mémoire,memoria,memoria
part,partie,parte,parte
win,gagner,vincita,victoria
time,temps,volta,hora
town,ville,cittadina,pueblo
face,visage,viso,rostro
loss,perte,perdita,pérdida
also,aussi,anche,además
agency,agence,agenzia,agencia
skill,compétence,abilità,habilidad
paper,papier,carta,papel
character,personnage,carattere,personaje
street,rue,strada,calle
world,monde,mondo,mundo
well,bien,bene,bien
security,sécurité,sicurezza,seguridad
open,ouvert,aprire,abierto
hot,chaud,caldo,caliente
entire,tout,intero,completo
case,cas,astuccio,caso
and,et,e,y
early,tôt,presto,temprano
full,complet,pieno,completo
drive,conduire,unità,conducir
cut,couper,taglio,cortar
personal,personnel,personale,personal
year,an,anno,año
site,site,luogo,sitio
already,déjà,già,ya
bring,apporter,portare,traer
stop,arrêter,fermare,detener
only,seul,solo,solo
bank,banque,banca,banco
dad,papa,papà,padre
feeling,sentiment,sensazione,sentimiento
say,dire,dire,decir
pay,payer,pagare,pagar
break,pause,rottura,descanso
young,jeune,giovane,joven
question,question,domanda,pregunta
push,pousser,spingere,empujar
decade,décennie,decennio,década
first,première,primo,primero
community,communauté,comunità,comunidad
special,spécial,speciale,especial
example,exemple,esempio,ejemplo
wear,porter,indossare,llevar
night,nuit,notte,noche
opinion,avis,opinione,opinión
version,version,versione,versión
chance,chance,opportunità,oportunidad
building,immeuble,edificio,edificio
statement,déclaration,dichiarazione,declaración
wife,épouse,moglie,esposa
information,information,informazione,información
policy,politique,politica,política
still,toujours,ancora,aún
century,siècle,secolo,siglo
movie,film,film,película
race,course,corsa,raza
point,point,punto,punto
land,terre,terra,tierra
white,blanc,bianco,blanco
development,développement,sviluppo,desarrollo
scene,scène,scena,escena
doctor,docteur,medico,médico
raise,élever,aumentare,aumentar
significant,important,significativo,significativo
red,rouge,rosso,rojo
kind,gentil,tipo,amable
give,donner,dare,dar
leave,laisser,partire,salir
thing,chose,cosa,cosa
light,lumière,luce,ligero
nation,nation,nazione,nación
fact,fait,fatto,hecho
author,auteur,autore,autor
simply,simplement,semplicemente,simplemente
provide,fournir,fornire,proveer
good,bon,buono,bien
star,star,stella,estrella
approach,approcher,approccio,acercarse
sit,asseoir,sedersi,sentarse
effect,effet,effetto,efecto
cover,couverture,coperchio,cubrir
option,option,opzione,opción
cell,cellule,cellula,celda
language,langue,linguaggio,idioma
hard,dur,duro,duro
industry,industrie,industria,industria
problem,problème,problema,problema
dog,chien,cane,perro
together,ensemble,insieme,juntos
much,beaucoup,tanto,mucho
natural,naturel,naturale,natural
meet,rencontrer,incontrare,reunirse
hour,heure,ora,hora
kill,tuer,uccisione,matar
level,niveau,livello,nivel
save,sauver,salva,ahorrar
letter,lettre,lettera,carta
attention,attention,attenzione,atención
drop,tomber,gocciolare,soltar
start,début,inizio,comienzo
voice,voix,voce,voz
purpose,but,scopo,propósito
board,conseil,tavola,junta
official,officiel,ufficiale,oficial
test,test,test,prueba
college,université,università,universidad
receive,recevoir,ricevere,recibir
difficult,difficile,difficile,difícil
activity,activité,attività,actividad
see,voir,vedere,ver
prove,prouver,dimostrare,probar
article,article,articolo,artículo
if,si,se,si
strategy,stratégie,strategia,estrategia
rise,augmenter,salita,aumento
hospital,hôpital,ospedale,hospital
center,centre,centro,centrar
shoot,tirer,sparare,disparo
get,avoir,ottenere,obtener
military,militaire,militare,militar
material,matériel,materiale,material
card,carte,carta,tarjeta
offer,offrir,offerta,oferta
congress,congrès,congresso,congreso
ability,aptitude,capacità,capacidad
club,club,club,club
miss,mademoiselle,perdere,perder
sense,sens,senso,sentido
post,publier,inviare,correo
republican,républicain,repubblicano,republicano
life,vie,vita,vida
find,trouver,trovare,encontrar
sell,vendre,vendere,vender
apply,appliquer,applicare,solicitar
answer,réponse,rispondere,respuesta
clearly,clairement,chiaramente,claramente
do,faire,fare,hacer
control,contrôler,controllo,control
lose,perdre,perdere,perder
begin,commencer,inizio,comenzar
understand,comprendre,comprendere,comprender
note,remarque,nota,nota
oil,huile,olio,aceite
expect,attendre,aspettarsi,suponer
press,presse,premere,imprenta
candidate,candidat,candidato,candidato
room,pièce,camera,habitación
near,près,vicino,cerca
growth,croissance,crescita,crecimiento
tax,impôt,imposta,impuesto
theory,théorie,teoria,teoría
success,succès,successo,éxito
music,musique,musica,música
camera,caméra,telecamera,cámara
old,vieille,vecchio,viejo
health,santé,salute,salud
rule,régner,regola,regla
individual,individuel,individuale,individual
end,finir,fine,fin
grow,croître,crescere,crecer
yet,encore,ancora,aún
pressure,pression,pressione,presión
arrive,arrivée,arrivo,llegar
top,haut,superiore,cima
read,lire,leggere,leer
central,central,centrale,central
player,joueur,giocatore,jugador
four,quatre,quattro,cuatro
department,département,dipartimento,departamento
future,futur,futuro,futuro
island,île,isola,isla
place,lieu,luogo,lugar
likely,probable,probabile,probable
design,conception,design,diseño
similar,similaire,simile,similar
help,aider,aiuto,ayuda
power,puissance,potenza,energía
major,majeur,principale,importante
be,être,essere,ser
so,alors,così,entonces
present,cadeau,regalo,regalo
image,image,immagine,imagen
september,septembre,settembre,septiembre
common,commun,comune,común
social,social,sociale,social
person,personne,persona,persona
throw,jeter,gettare,lanzar
call,appeler,chiamata,llamar
head,diriger,testa,cabeza
never,jamais,mai,nunca
issue,publier,problema,asunto
north,nord,nord,norte
phone,téléphoner,telefono,teléfono
join,rejoindre,giuntura,entrar
charge,charger,caricare,cargo
hand,main,mano,mano
develop,développer,sviluppare,desarrollar
supposed,supposé,ipotetico,supuesto
drug,drogue,droga,droga
stage,étape,palcoscenico,escenario
real,réel,vero,verdadero
free,gratuit,libero,gratis
evidence,preuve,prova,evidencia
bad,mal,cattivo,malo
idea,idée,idea,ocurrencia
recent,récent,recente,reciente
carry,porter,trasportare,llevar
protect,protéger,proteggere,proteger
road,route,strada,camino
economic,économique,economico,económico
lead,mener,guida,dirigir
father,père,padre,padre
decision,décision,decisione,decisión
remove,supprimer,rimuovere,retirar
side,côté,lato,lado
message,message,messaggio,mensaje
concern,préoccuper,preoccupazione,preocupación
bed,lit,letto,cama
possible,possible,possibile,posible
let,laisser,permettere,dejar
story,récit,storia,historia
worker,ouvrier,lavoratore,trabajador
court,rechercher,tribunale,corte
happy,content,felice,feliz
product,produit,prodotto,producto
fail,échouer,fallire,fallar
important,important,importante,importante
interview,entrevue,colloquio,entrevista
justice,justice,giustizia,justicia
boy,garçon,ragazzo,chico
amount,quantité,quantità,monto
turn,tour,giro,turno
term,terme,termine,término
cup,coupe,tazza,taza
mean,moyenne,significare,significar
job,travail,lavoro,trabajo
opportunity,opportunité,opportunità,oportunidad
run,cours,correre,correr
current,courant,attuale,actual
huge,énorme,enorme,enorme
action,action,azione,acción
position,position,posizione,posición
put,mettre,mettere,poner
comment,commenter,commento,comentario
professor,professeur,professore,profesor
treat,traiter,trattare,tratar
property,propriété,proprietà,propiedad
finish,terminer,finire,terminar
pass,passe,passaggio,aprobar
die,mourir,morire,morir
course,cours,corso,curso
moment,moment,momento,momento
ready,prêt,pronto,listo
change,monnaie,modificare,cambio
whole,ensemble,totale,entero
book,livre,libro,libro
increase,augmenter,aumento,aumento
office,bureau,ufficio,oficina
talk,parler,parlare,hablar
public,publique,pubblico,público
discuss,discuter,discutere,discutir
family,famille,famiglia,familia
compare,comparer,confrontare,comparar
prepare,préparer,preparare,preparar
city,ville,città,ciudad
river,fleuve,fiume,río
political,politique,politico,político
man,homme,uomo,hombre
low,meugler,basso,bajo
global,global,globale,global
election,élection,elezione,elección
organization,organisation,organizzazione,organización
sun,soleil,sole,sol
date,date,data,fecha
back,retour,indietro,espalda
hold,tenir,presa,sostener
table,tableau,tavolo,mesa
private,privé,privato,privado
method,méthode,metodo,método
perfect,parfait,perfetto,perfecto
take,prendre,prendere,llevar
name,nom,nome,nombre
hit,frapper,colpo,pegar
animal,animal,animale,animal
sir,monsieur,signore,señor
hate,détester,odiare,odio
culture,culture,cultura,cultura
kid,enfant,ragazzo,niño
piece,pièce,pezzo,pieza
draw,dessiner,disegno,dibujar
air,air,aria,aire
final,final,finale,final
treatment,traitement,trattamento,tratamiento
station,station,stazione,estación
know,connaître,sapere,saber
physical,physique,fisico,físico
color,couleur,colore,color
president,président,presidente,presidente
weapon,arme,arma,arma
heart,cœur,cuore,corazón
morning,matin,mattina,mañana
company,entreprise,società,empresa
international,international,internazionale,internacional
able,pouvoir,capace,poder
former,ancien,ex,anterior
foreign,étranger,straniero,extranjero
party,fête,festa,fiesta
record,enregistrement,disco,registro
require,exiger,richiedere,exigir
bill,facture,conto,factura
i,je,io,i
cost,coût,costo,costo
husband,mari,marito,esposo
thank,remercier,grazie,gracias
girl,fille,ragazza,muchacha
such,tel,tale,semejante
game,jeu,gioco,juego
mom,maman,mamma,mamá
human,humain,umano,humano
appear,apparaître,apparire,aparecer
parent,parent,genitore,padre
way,chemin,modo,camino
team,équipe,squadra,equipo
affect,affecter,simulare,afectar
choice,choix,scelta,elección
spend,passer,spendere,gastar
field,domaine,campo,campo
base,base,base,base
stay,rester,restare,permanecer
model,maquette,modello,modelo
determine,déterminer,determinare,determinar
war,guerre,guerra,guerra
certain,certain,certo,cierto
behind,derrière,dietro,detrás
forward,effronté,inoltrare,adelante
quality,qualité,qualità,calidad
population,population,popolazione,población
close,fermer,chiudere,cerca
plant,plante,pianta,planta
reality,réalité,realtà,realidad
hope,espoir,speranza,esperanza
blue,bleu,blu,azul
research,rechercher,ricerca,investigar
new,nouveau,nuovo,nuevo
best,meilleur,migliore,mejor
guy,mec,ragazzo,chico
no,non,no,no
detail,détail,dettaglio,detalle
include,inclure,includere,incluir
create,créer,creare,crear
wrong,tort,sbagliato,incorrecto
king,roi,re,rey
campaign,campagne,campagna,campaña
meeting,rencontre,incontro,reunión
return,retourner,restituzione,regreso
financial,financier,finanziario,financiero
attack,attaque,attacco,ataque
disease,maladie,malattia,enfermedad
remain,rester,rimanere,permanecer
program,programme,programma,programa
prawda,vrai,vero,cierto
photo,photo,foto,foto
word,mot,parola,palabra
class,classer,classe,clase
film,film,film,película
section,section,sezione,sección
build,construire,costruire,construir
even,même,anche,incluso
seem,sembler,sembrare,parecer
leader,leader,capo,líder
want,vouloir,volere,desear
own,propre,possedere,propio
sport,sport,sport,deporte
wall,mur,parete,pared
sort,sorte,ordinare,clasificar
use,utiliser,uso,usar
region,région,regione,región
country,pays,nazione,país
mother,mère,madre,mamá
follow,suivre,seguire,seguir
thanks,merci,grazie,gracias
condition,état,condizione,condición
specific,spécifique,specifico,específico
analysis,analyse,analisi,análisis
sign,signe,cartello,firmar
reason,raison,motivo,razón
tell,dire,raccontare,contar
box,boîte,scatola,caja
visit,visite,visita,visita
committee,comité,comitato,comité
fund,fonds,finanziare,fondo
summer,été,estate,verano
house,loger,casa,casa
earth,terre,terra,tierra
five,cinq,cinque,cinco
teach,enseigner,insegnare,enseñar
tree,arbre,albero,árbol
represent,représenter,rappresentare,representar
believe,croire,credere,creer
age,âge,età,envejecer
local,local,locale,local
always,toujours,sempre,siempre
east,est,est,este
okay,d'accord,bene,bueno
exactly,exactement,esattamente,exactamente
page,page,pagina,página
different,différent,diverso,diferente
go,aller,andare,vamos
act,acte,atto,actuar
share,partager,condividere,cuota
wish,souhaiter,desiderare,deseo
reduce,réduire,ridurre,reducir
